gene	cluster
MA_131537g0010	Cluster1
MA_10433300g0010	Cluster1
MA_18424g0010	Cluster1
MA_31315g0010	Cluster1
MA_18245g0010	Cluster1
MA_7597338g0010	Cluster1
MA_323961g0010	Cluster1
MA_10432255g0010	Cluster1
MA_23426g0010	Cluster1
MA_239561g0010	Cluster1
MA_9929g0010	Cluster1
MA_224722g0020	Cluster1
MA_10436991g0010	Cluster1
MA_22632g0010	Cluster1
MA_19416g0010	Cluster1
MA_5762206g0010	Cluster1
MA_207021g0010	Cluster1
MA_38395g0020	Cluster1
MA_16923g0030	Cluster1
MA_1870g0010	Cluster1
MA_10428886g0010	Cluster1
MA_7290708g0010	Cluster1
MA_10437271g0010	Cluster1
MA_17826g0010	Cluster1
MA_6976g0010	Cluster1
MA_10143217g0010	Cluster1
MA_333359g0010	Cluster1
MA_31020g0010	Cluster1
MA_427851g0010	Cluster1
MA_9263807g0010	Cluster1
MA_6183884g0010	Cluster1
MA_10435790g0020	Cluster1
MA_68362g0010	Cluster1
MA_10436686g0010	Cluster1
MA_10428133g0010	Cluster1
MA_3831320g0010	Cluster1
MA_2415649g0010	Cluster1
MA_17449g0010	Cluster1
MA_10436827g0010	Cluster1
MA_98176g0010	Cluster1
MA_17431g0010	Cluster1
MA_123486g0010	Cluster1
MA_10426084g0030	Cluster1
MA_10432626g0010	Cluster1
MA_24593g0010	Cluster1
MA_10430613g0010	Cluster1
MA_626006g0010	Cluster1
MA_10296583g0010	Cluster1
MA_10429404g0010	Cluster1
MA_10436625g0010	Cluster1
MA_9273744g0010	Cluster1
MA_7991800g0010	Cluster1
MA_599646g0010	Cluster1
MA_45897g0010	Cluster1
MA_10437164g0020	Cluster1
MA_18863g0020	Cluster1
MA_18369g0020	Cluster1
MA_6810654g0010	Cluster1
MA_8671289g0010	Cluster1
MA_12190g0010	Cluster1
MA_10436651g0020	Cluster1
MA_10435426g0010	Cluster1
MA_78644g0010	Cluster1
MA_18859g0010	Cluster1
MA_10431360g0010	Cluster1
MA_60853g0010	Cluster1
MA_35964g0010	Cluster1
MA_133920g0010	Cluster1
MA_95364g0010	Cluster1
MA_14277g0010	Cluster1
MA_19509g0020	Cluster1
MA_69695g0010	Cluster1
MA_129542g0010	Cluster1
MA_10433951g0030	Cluster1
MA_10437086g0010	Cluster1
MA_190560g0010	Cluster1
MA_3372633g0010	Cluster1
MA_198928g0010	Cluster1
MA_10427494g0010	Cluster1
MA_19739g0010	Cluster1
MA_131015g0020	Cluster1
MA_130835g0010	Cluster1
MA_10426591g0010	Cluster1
MA_9747174g0010	Cluster1
MA_118100g0010	Cluster1
MA_10436536g0010	Cluster1
MA_10427749g0010	Cluster1
MA_23152g0010	Cluster1
MA_10391309g0010	Cluster1
MA_10437032g0010	Cluster1
MA_164028g0010	Cluster1
MA_80358g0020	Cluster1
MA_10436090g0010	Cluster1
MA_17462g0010	Cluster1
MA_111343g0010	Cluster1
MA_135003g0010	Cluster1
